tweet_text;sentiment
Tu foi obrigado então? — minha essência é a mesma :) https://t.co/gU8NAeK2Jh;Positivo
@stelartoiss consciência pesou e eu desisti de assistir, melhor dormir msm :);Positivo
@RadioRockPuro Boa noite Dino :-);Positivo
@julialimapessoa Boa noite, Pessoinha :));Positivo
E pra fechar, o teclado da Alienware, modelo Pro Gaming AW768 Caralho, que teclado bonito da porra! Nos detalhes: tecladim mecânico com switches brown, aquele com resposta tátil FODA e força de acionamento show! Além de RGB, macros, atalhos programáveis e tudo! R$ 600 + Frete :) https://t.co/W7mT5xezgO;Positivo
Ter razão ou ter paz? — Razão :D https://t.co/jzwINCCI1A;Positivo
@savvasmor mmmmmm iperoxos oute sto alepoxori nasouna :);Positivo
Gostei de um vídeo do @YouTube https://t.co/wJv8OhOKFs FORTNITE ! NOVAS SKINS :D COMPRO ? R.I.P. TOMATO TOWN ? ?? 511 WINS;Positivo
Como n bastasse o wolverine e o doctor strange incompleto agora é a vez do deadpool :) https://t.co/H13WBkZvuQ;Positivo
Última vez pedi pra nunca mais me deixar não esperou dar nem uma semana p me jogar fora feito lixo :);Positivo
Factions Medieval em Desenvolvimento :) Será que vai dar boa? IP: https://t.co/LV6X5tYX7B;Positivo
LIVESTREAM FORTNITE NO AR MANOS :D #PARTILHA !!!!! https://t.co/5ubmaAvvwA;Positivo
@melissapena_ T voa partir tu madre :);Positivo
Gostei de um vídeo @YouTube https://t.co/LGNjrDc2Qf To The Races - Lana Del Rey - Lyrics :);Positivo
Estive a arrumar até agora :);Positivo
hoje foi um dia bom :);Positivo
@veek_oficial Parabéns pela oferta de R$20 por 30 dias. Vocês se tornaram a melhor opção no mercado p/ quem quer manter um número que não usa mais como principal. E isso virará 100% de lucro, já que esse perfil de cliente não gera despesa de VU-M :D;Positivo
Se tu diz :D;Positivo
@lumabargo vc é :) olha como seu cachorro é feliz;Positivo
@Primo_Resmungao @God_is_a_she A tua mulher partilha cmg o gosto por guardar caixas(e n só) e a profissao. :P plo menos ate ao momento, q agr tou d baixa e dp nem sei...mas à uns5anos q faço isso.;Positivo
@Roboox23 De nada :D;Positivo
Vou me deitar às 5h30 :))));Positivo
@yixingtoxic Os resultados das pesquisas se baseia no que você anda assistindo no yt, então isso so mostrar que você anda vendo muito BTS. Obrigada pela visibilidade e reconhecimento anjo :)) https://t.co/fk7HWmC3Fu;Positivo
@euguruanna @garciaa1903 Não tenho como adotar, mas posso te ajudar com ração ou alguma outra coisa :);Positivo
mesmo wrrando umas bala nada a ve me chamaram :);Positivo
Eu tava com sdds dele :);Positivo
@xtramirrestrial dinosaurs!!!! :) https://t.co/uTqt1vnISv;Positivo
@marlondm @GeorgMarques @agenciacnt 1. Pq vc vive em sua bolha 2. Pq os eleitores do Lula n são fakes ou contas robôs q ficam falando asneira em qualquer post q aparece como de outros candidatos. As pessoas tem + oq fazer :);Positivo
só observo minha irmã sendo um anjinho comigo porque precisa de uma modelo de make pra amanhã quando ela não precisa de mim é uma escrota :);Positivo
Acabei de ganhar um Minecraft Original na LojaBolada, sim foi de graça :) Entre aqui e saiba como ganhar também: https://t.co/rTwikJNaEO #LojaBolada #MinecraftFree;Positivo
sou líder de todas as turmas do meu curso, estou c as fichas dos jogos, não tô indo na faculdade e a galera não para de mandar msg querendo ficha :);Positivo
boa noite :);Positivo
@lucaskCRF Pra tirar a maquiagem :);Positivo
@padilhafbpa Consegue baixar Discord no seu celular? Vai facilitar bastante a comunicação :P;Positivo
"@bazert @Publico Foi o tema do meu trabalho final da pós graduação (fiz prova com o ""pai"" da legislação) , e da Agregação na Ordem. E quando vim para aqui descobri uma data de gente que foi completamente enganada, tinham titulos de férias em vez de time s";Positivo
ok eu falto quarta, faço o trabalho de educação física pela manhã e à tarde vou pra casa da minha amiga fazer o trabalho de artes :D https://t.co/mMLtyXNmth;Positivo
@Cherrybomb11111 De nada! :);Positivo
Hora de assistir :) pq estudar eu não tô conseguindo;Positivo
Acho q o Kayke tentou me elogiar me comparando c a Hanna, porém esqueceu do detalhe q ela morre :);Positivo
as letras do xxxt nunca fizeram tanto sentido, rajada :D;Positivo
@Monica_ARMY1 mano fiquei triste, posso ser cupido :);Positivo
Que bolonqui estoy manejando (:)/(-((/;Positivo
@alexandre_lops @gabiiiidarosa Sim a gente pode gravar aí nóis janta :);Positivo
Nova tela de fundo do meu #Desktop :) https://t.co/BGv6vdy7sP;Positivo
@lkp9812 @ForeverShady98 eminem ft ariana grande :))))) https://t.co/BoEns5zOim;Positivo
So queria morrer um pouco, tipo pra sempre :);Positivo
Corrente da autoestima :) Quem curtir te acha bonita — ta bom https://t.co/EEzbSURjnT;Positivo
@squizxy Silver? :)));Positivo
seu nome é só Eduarda ou Maria Eduarda ? — maria eduarda :) https://t.co/MysypPL1R3;Positivo
Bonita historia :) https://t.co/dhSxUViGbB;Positivo
af pq és tão lindo — obrigadoo :) https://t.co/O5083fc0ic;Positivo
"vamo lá! ??????""não quero dinheiro eu quero amor sincero, é isso que eu espero"" :) https://t.co/RbSt66QY2P";Positivo
@eduardo01655222 7 mil milhoes é usado na europa 7 biloes é usado na america :);Positivo
@yazmin_medina2 NUNCA es tarde :)));Positivo
@youngsnowblood obrigada :)?? eu tb acho bonito, mas as outras, não eu kqlwlwkw pq é um saco quando é só vc, a diferentona dentre todo mundo;Positivo
Inveja tenho de quem consegue dormir de dia :p;Positivo
@JaquePauula Hahahah maid sem noção, isso sim :p;Positivo
@_ninosantos @igorescorreia Não vou discutir com vcs :) Até pq eu preferia nao ter beijado, então nao me irrita;Positivo
@pedromyguel Mas ele não premia vídeo mudo :) Então tá tudo bem, assim como tem melhor trilha sonora original no Oscar (e olha que eles premiam vídeos mudos);Positivo
Talo tnc :))));Positivo
Na boa, sou muito apaixonado no teu sorriso e teu jeito de ser, diz que aceita ser minha mulher — Que fofo :) https://t.co/EegLmeHd7k;Positivo
@_ninosantos @igorescorreia Não vai ver :);Positivo
@mumaaji Na verdade, os testes são bem limitados por não dizerem respeito à própria categoria de separação de ''funções''. É limitado a T-F, E-I, S-N, J-P. Só que essa separação está errada. Não é muito recomendável se basear pelos testes. Eu mesmo achava;Positivo
@598quadrados tu nao eh teus traumas, tu eh o presente, um instante, so oq te define é o que tu vai ser daqui p frente :);Positivo
Toquei ukulele até ficar com câimbra nos dedos :);Positivo
@gisneris @luanica_ não sou a única que escuta roupa nova :D;Positivo
@rihanney se você não for me ignorar :);Positivo
Comeu eshilley né safado OKAISUWOSOKSSKSISSJS — O que se fez a dois, nunca será comentado a três :) https://t.co/hyL5XszyCz;Positivo
@beamarcelino Aleatórias não, bora construir :);Positivo
Mas fui ao mc :))));Positivo
vi sua namorada sem voce no role vcs terminaram vc ta solteiro? — não tô solteiro e minha mina tem liberdade de sair qnd ela quiser, confiança o nome meu bem :) https://t.co/pDLWwelH7h;Positivo
Vai dormir :D — Nao tenho sono ?? https://t.co/jNqSAbn6Bo;Positivo
mate um d5 na paulada :);Positivo
Esperando a chuva :);Positivo
@rafaelaboth amanhã sai no https://t.co/WavC3S3Kh6 eu posto aqui :);Positivo
Jogando fortnite squad com @MaranhaoGabriel @igorfsn @danillolf https://t.co/MvnOdAfTNi Vem :);Positivo
100% nem aí, meu anjo. :);Positivo
Esse é o meu garoto :) https://t.co/yL23kcteJ9;Positivo
@alves_delmar Well, duas mulheres maravilhosas! :);Positivo
Então né guys, boa noite :) https://t.co/46vF4Wnky1;Positivo
@crazyyviruss n sei pq me lembrei daquele vídeo do Baek olhando bem olhado a Hwasa :) https://t.co/e3IgrgfRzK;Positivo
tem gnt q n muda, o tempo pode passar e n muda, n cresce, n desenvolve as ideias, as prioridades, os defeitos, simplesmente n muda, e não é você que vai mudar esse alguém. ngm muda ngm, temos o poder de mudar nós mesmos, e só :);Positivo
":)))) to mm a ver que amanhã acordo c bué dm""s a dizer ""tu e a nicole têm beef"" juro ?? https://t.co/Er6SO3qBUd";Positivo
"@LMattarMonteiro @QueenWillRock @Campinas No início não curti mto a ideia do Queen retornar sem Mercury, porém depois gostei de continuarem levando o legado do Queen estrada afora . Foi 1 decisão emocional em ter parado, era mto próximo do FM. But... ""The";Positivo
@s2_line mas é algo :);Positivo
@effectscabello então tá bom nina, pense o que quiser :) minha consciência limpissima;Positivo
Nossa. Saber disso em só algumas palavras qq ' Parabéns. — impressionado? de qualquer forma, obrigada :) https://t.co/BNLzFYDefx;Positivo
sigo de boa tbm por saber que dedo nao faz filho :);Positivo
país racista e premiação racista boicotando a música que denuncia o racismo :);Positivo
@andresbravo91 @TiendasMAX @ConectionGT @PuntoNaranjaGT @superlatorre ¡Nítido! :) https://t.co/XBhkyxifXj;Positivo
@isabelleweyller @safadelizantebb Realmente :);Positivo
mt benten bales nanti ae, capeq :);Positivo
@QueAmara A ser* :);Positivo
Hoje foi o pior dia da minha vida. Ia postar isso no face, mas aí lembrei que tenho ex's lá, então vou continuar fingindo que minha vida está ótima :);Positivo
@nicolettiFPS vlw irmãozin tmj! trombaremos muito ainda :D;Positivo
@shawntyrel na medida do possível e vc? :D;Positivo
Coisinha mais linda do mundo é a pessoa perguntar o que aconteceu, FICAR PUTO pq eu respondi e ainda sair gritando aos 4 ventos :);Positivo
@DaftHill Eu queria ir p casa cedo dormir :);Positivo
@trashrocksite siiiiiiiiim! mereceu demais. :);Positivo
@CaptainHopper Obrigada :);Positivo
Só espero que estejas feliz do que fizeste rapariga :));Positivo
eu achei bem fofinho :) https://t.co/PIfBB1krUw;Positivo
aiii deixa esseee!! -D — aaa vou deixar :)) https://t.co/5AyIOkHUw5;Positivo
@TurbzAU no problem :D;Positivo
RR - acho que nunca te vi mas és MUITO giro :));Positivo
a nicki e a ariana salvaram o vma pra mim, eu simplesmente to muito mais apaixonado por elas. ambas levaram um prêmio pra casa e fizeram as duas melhores performances. n poderia estar mais orgulhoso :);Positivo
Quando se trata de uma mulher de verdade, uma mãe é um exemplo de uma... :) ela esperar, cuida e incentiva seu filho e o acompanha, em vez de critica-lo e ficar lhe colocando pra baixo. https://t.co/wZr3tvYIon;Positivo
Apenas aprendendo a viver com esta situação :);Positivo
eu achei a lara jean muito fofinha :) https://t.co/VhccfGM5JB;Positivo
@Mbagaskara3 @R_AninJKT48 Bodo :p;Positivo
Um bixin é como um ser humano não consigo entender como alguém machuca um ser tão indefeso bando de fdp infeliz :);Positivo
Só me falta a pessoa :) https://t.co/YGjp6uOQMI;Positivo
projeto concluído, amanhã eu vou testar :) em Londrina https://t.co/uV2byjjcrf;Positivo
Fiz isso e sinceramente melhor coisa :) https://t.co/Wf3BFx9JMW;Positivo
Pra quem sempre pediu meu som na rua, acho que chego a hora :D;Positivo
sippinpurpp é merda :) https://t.co/jaWPEyxHiA;Positivo
Uma coisa é certa, to feliz só do meu pc rodar o Adobe Premier Pro 2017... :);Positivo
mais um dia eu brilhando :D https://t.co/ohISrpdmKo;Positivo
@jessii_kim De nada... quando quiser, só chamar :) xx;Positivo
@oMeiaUm Me inspirei, então fiz mais um pra pertubar seu juízo :D https://t.co/1hpMtUK98i;Positivo
@hamikosan Obrigada ?? o site é o do post mesmo, https://t.co/lyJdmyZs0O :) e contato e orçamento por email;Positivo
Na hora de ir procurar porno sabe usar ela direitinho né. VSF :);Positivo
Estás soltera o con pareja? — Soltera :) https://t.co/CNUmBOUO7C;Positivo
@mau10 Você é um príncipe? Bora misturar esse sangue real :);Positivo
“Acho que vou indo” “Naaaooo, fica comigo” “Não tens sono?” “Eu não, tu tens?” “Um bocado, mas eu fico” “Obrigaaadoooo” “Então e o que estás a fazer?” “Oi? Tas aí” “Oooohhhh” :);Positivo
@CelinaCapito Nem eu queria :);Positivo
@RobertoZocatel1 Obrigada :D;Positivo
@mileyfetish @sobergaga @roronoakurosaki @mileyroots @bchartsnet Video do ano é por votação. Votei em Katy 2011, teve gaga 2010 e por aí vai :);Positivo
@unlykkeli OBRIGADA QUERIDA ?? eu to so :D;Positivo
passei aqui so pra falar q vc é linda dmssss e n se deixe abalar por essas coisas, vc é q boa dms pra td mundo :) — ô meu deus brigada minha vida?????????? https://t.co/PI7UdwApA4;Positivo
@sobergaga @roronoakurosaki @mileyroots @bchartsnet Votação na categoria video do ano. :);Positivo
https://t.co/loxS2HvTcm Seguindo todos que puderem dar RT. É uma forma de divulgar meu trabalho. :) #TercaDeTremuraSDV;Positivo
Boa noite bons sonhos :);Positivo
Eu não sou dessas pessoas movida a sexo não, mas esse tempo só faz falta de uma mozão :);Positivo
"Pra sempre bonde do bodão em nossos corações! :´) Para mim foram quase 9 meses jogando como ""Number 6 Victory"", agora estamos a procura de representar uma nova org. Line: @pahfps @pathimis @dehprieto @fateCSGO @GabrielaBokor Coach: @csfredygo Manager: @ixtorme";Positivo
@exaltazaura É uma cianobactéria riquíssima em proteína. Excelente suplemento para vegetarianos e veganos. Dá uma pesquisada! :);Positivo
@GeBreves @bombomdecaju @ilovefunkrj Adoro esse argumento, já aconteceu com familiar meu. Olha, ele não foi mutilado :);Positivo
Não ficou igual, mas eu gostei :-) https://t.co/bXJHZC7SHz;Positivo
Depois de amanhã é meu vôo para morar um ano em Vancouver, espero encontrar @CdNLeon e a @nilmoretto :D;Positivo
well acabei de descobrir que se mandar vir 6 garrafas destas, o shipping é free :D fica só a 261$;Positivo
@tuxdepano Desculpe. Eu não voltaria.... :-);Positivo
@geanrivas eu tô ótima :);Positivo
Começando o HINO DE FILME Bridget Jones no 657 da Net :);Positivo
@avidov_roey @REVERSALYOUTUBE Sent a request from João Pessoa,Brazil :);Positivo
Resolvi desabafar um pouquinho sobre relacionamento abusivo (q no meu caso não é sobre namorada, é sobre minha mãe) Do nada senti coisas demais e resolvi por no papel Espero que alguém leia e se identifique :) https://t.co/AP6GpGq78O;Positivo
Acho mt legal essas pessoas q falam mal do Maluma mas n param de assistir a apresentação :);Positivo
exatamente :) https://t.co/iXAX6eZ4wL;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — matar os estupradores e os racistas :) https://t.co/Q23z1zxrpu;Positivo
@Moonk4s3 Amas foto nova :);Positivo
@Nana10112105 @noeliafer001 @BTS_twt Te mando DM!? :D;Positivo
Mas juro que continuo um amorzinho com quem merece. :);Positivo
És linda e uma querida e eu peço muitas desculpas por quando eu estou mal te mandar para o carvalho e ser má contigo, ya depois fico a sentir me mal :)) love u;Positivo
Eu queria só ter coragem pra deixar todo mundo em paz de uma vez :D;Positivo
@vera :) é ponto final :);Positivo
@TurmadaMonica Esquece o face, fique conosco que vai gostar mais :D https://t.co/ZKzJVROEgU;Positivo
@mandaevelyn Que orgulho amiga em plena terça-feira :D;Positivo
@MarliPeyerl Quem precisar trocar uma ideia estamos ai ! :);Positivo
@mumaaji Prefiro quando adivinham. Assim é bom, porque me tipam também :);Positivo
Estou aqui com 2% de bateria e o carregador está no quarto ao lado :);Positivo
Começando com o mouse da Alienware: o Elite Gaming AW958! O bicho falta fazer café! Peças customizáveis (ó as fotos) para atender melhor seu estilo de jogo! :D Completinho, impecável, caixa e TODOS os acessórios. R$ 400 + frete (SP tem preferência) https://t.co/F9BDIOPXK4;Positivo
Kratos não satisfeito em sentar a porrada em Deuses Gregos e Nórdicos, agora vai sentar a porrada em Deuses Egípcios. :D :D :D;Positivo
@annebiah Eu aceito a indicação. :) É Unimed ou particular?;Positivo
"""O google errou essa caralha pq ninguém é perfeito, meu anjo. Com amor, Letícia :)""";Positivo
Nossa próxima apresentação. :) Nos vemos por lá! https://t.co/Mgr6p5jhtL;Positivo
@davidpires_25 Nem eu :);Positivo
façam chamada cmg :) :(;Positivo
@haematopoiesis same :D qdo te der mais jeito!;Positivo
aaff amo a gabriela :)) me identifico muito;Positivo
Se quiser é só sair. Quem sou eu pra julgar alguém. Se acha que eu não me importo é só não falar mais comigo. Juro que não vou incomodar ninguém :);Positivo
Rede portátil, pqp como não pensei nisso antes? :) https://t.co/qXAcWL9XBb;Positivo
Momentos em 8 partes... :) em São Paulo, Brazil https://t.co/2fbNlvjNan;Positivo
@yanzices Vem na moradia e pede o segurança pra esquentar pra ti. :);Positivo
Só vou ver os VMAs quando chegar a Portugal :);Positivo
amanhã começa meu cursinho no torres :)));Positivo
foo :) : 7cb7b2e4-fb6e-4493-8eee-5a89a37307f2;Positivo
@bangtanmeubb Já assisti o filme sim. Assim, o livro é legal, mas tratando-se de John Green, O teorema Katherine acho muito melhor. Vc é de onde? Se a gente morar perto posso te emprestar o meu :);Positivo
@Lucas_Silva0001 ??: nunca fui com a cara.. ??: 0 ??: santo continua nao batendo :);Positivo
@trouxaa_on31 Nunca se sabe quando uma pessoa gosta da outra o que ela pode fazer por ela!!!! :);Positivo
@Ueslo mas eu sempre te respondo :) (:;Positivo
De volta ao Imparh depois de dois meses de férias, e a professora ainda levou pizza pra turma. :);Positivo
| Nope, te acabo de dar follow :D https://t.co/ff3pMELGLo;Positivo
@saarasouuza vlw :) desejo tudo em dobro para você;Positivo
Obrigada por fazer parte dos meus dias, você não tem noção do quão grata sou por te ter. Você é 10/10 e merece o mundo. :) — Aaaaaaaa que lindaaaa?? Suas palavras melhoraram mto o meu dia!!!?? Quem é??? https://t.co/LqDInLSF00;Positivo
@2peekaboo4you Amigo por favor, por que eu acho a gente muoto desunido nesse aspecto. Vamo fazer junto! Eu t ajudo! :D;Positivo
@geovany_vaz @neeriw deveriam ter ido jogar gc comigo :p;Positivo
Uns dias chorando de tristeza e outros chorando de felicidade pq percebeu que tudo esta dando certo na minha família :p bnoite;Positivo
@yesSereia HA HA HA, eu conto ou você mesmo vai contar? :);Positivo
@woodchrisx eu mesma e com muito orgulho :);Positivo
@denize_nefer Né não!? :D;Positivo
@JoaoGabrielJrd obgg :);Positivo
@SousaVasco8 Ohhh obg :));Positivo
@bethmoreno Bem-vinda! :);Positivo
era pra eu estudar a tarde toda mas eu dormir :);Positivo
@coffesjennie se você quiser,você pode me chamar na dm :);Positivo
@bethmoreno @legalizandra Mães jovens :) O meu vai fazer 19 em novembro. Passa rápido né?;Positivo
@anaelisabacon Faltou sexo e twitter, assim não dá pra viver! :-);Positivo
@buenocamz Acnase funciona :D;Positivo
vai ser lindo se tiver show em estádio, sério. não canso de repetir. e tomara que várias armys tenham a chance de ir :) #BrazilNeedsLYTour;Positivo
queria confessar que eu estou louca pra te mandar msg mais sei que sua namorada eh barraqueira — Pode ter certeza que ela não perde tempo com essas fita porque a única pessoa que eu quero é ela :) https://t.co/33ipzHSOAR;Positivo
E eu esperando mudanças! :);Positivo
@nera2120 @Danilloahr aaa eu conheço BTS haha, não só conheço como adoro o grupo, inclusive meu namorado Jimin é um dos integrantes eu só pergunto isso nos tweets dele pq da última vez que falei, uma fã ficou pistola cmg pq eu não 'conhecia' conheço BTS h;Positivo
@Marcioalbertini pior parte de ser macumbeiro é resguardo. cheirar a defumador e charuto a gente acaba se acostumando :);Positivo
pois é :D;Positivo
@robsorria Cuidado com o burro :p;Positivo
@DaniloGentili parece o jim carey, na década de 70, antes de ser engraçado. gostei :);Positivo
devia começar a deitar-me mais cedo e a ser mais saudável e essas merdas todas mas aqui estou eu :D;Positivo
Teciane e agno estavam lindos no arraial né — sabe q nem reparei? ao contrário de você, tenho mais oq fazer :p https://t.co/2tp1kU3OBi;Positivo
guys i will be nice:):):):):):):):):):):):):):):):):):):):):))):)::):):):):):):):):) jmjmjmjmjmjmjmj opps;Positivo
@Heroy_AE @Luanramos1010 @GoriAchi Muito legal :P;Positivo
eu qro q você se foda nayra suma de uma vez por todas da minha vida se morrer melhor ainda paro tudo e geral se recupera melhor de tudo que causamos. :);Positivo
"@camilaccombr Tô mt orgulhosa mas acho que ela deveria ter ganhado o de Música do ano, pq comparado a quem ela tava disputando, tem clipes com mais ""conceito"" :)";Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — dinheiro pra ir no geração, minha mãe deixar eu ir no geração e mais 982679 desejos :) https://t.co/haT84pHMvY;Positivo
@Luane_Martins como disse no post original, os pontos não marcam pra onde a pessoa já viajou. Esse mapa fica num hostel, para que os hóspedes marquem de onde vieram. :P;Positivo
Picasso, Van Gogh, Renoir? Legal mesmo é tirar os lenços umedecidos do pacote! :D Ensaio de acompanhamento mensal.;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Conhecer o mc kevinho, ter dinheiro e viajar :) https://t.co/nVxhqpDI0f;Positivo
amigo que pegou minha blusa no phn eu sou legal pode falar cmg :);Positivo
@oioijuliana aaaa é só chamar, real hahah :) mas os outros amiguinhos não :(;Positivo
Estamos indecisos entre tantos desportos que adoramos fazer durante o verão. Qual é o teu? :P #mrwonderfulshop https://t.co/un0K4iNqB6;Positivo
@_anahikari Sim, Ana :) E o período do parto até a recuperação do corpo da mulher pós parto se chama puerpério :) é uma fase bem intensa para mulher.;Positivo
@purposewoIf eu sou o justin :D;Positivo
AAAAAAAaaaaa hoje foi o primeiro dia de gravação da sexta e última temporada de b99 e eu fiquei só babando felizinha no insta de todos os atores!! To terminando a quinta temporada, btw. Melhor série de comédia fácil :D;Positivo
Parar para ver o quanto a vida muda em um período de um ano foi algo que muito me assustou, porém me fez ser grato a tudo... :);Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — ser rica sem trabalhar o resto nós pensa depois :) https://t.co/UqzdREk2ZQ;Positivo
@sepzlega Infelizmente eu sou ruim e tenho Enem pra fazer em novembro :/ boa sorte pra achar seus amigos pra jogar :);Positivo
@luisguilhermewm Além do @bruno_kteixeira, também tive câncer, e também passei por cima disso, já tem um tempinho que me curei, é uma fase difícil,mas você consegue sair dessa, se quiser conversar sobre, também to aqui e boa sorte na sua jornada :);Positivo
@tojonghyuns qualquer coisa pode falar comigo, ok? eu tô aqui :);Positivo
| Nope, te acabo de dar follow :D https://t.co/hXFHivuvRb;Positivo
agr como se n bastasse quando tenho crise de ansiedade vem junto de artrite e de coluna :);Positivo
"@UmMosquito Porque, a princípio, é difícil de fazer. Rs' Aí depois que viralizou a ""solução"" do desafio, viralizou geral. :)";Positivo
@spearbink minho :));Positivo
@spideyonces Mesmo que não tenha merecido, n tem q tirar o mérito dela só por ser teen :);Positivo
@SathriYan_ helo :);Positivo
@bernardobida @DETONAgOficial @SantosFCeSports Esperando o Link do site :P;Positivo
vou dormir que amanha se deus quiser vou me grifar :D;Positivo
inicial de replay,s? — A e M, n consigo pensar em mais nenhum :) https://t.co/uJUhHNrQqF;Positivo
Saudades de twittar aqui. :) Vou voltar a twittar.;Positivo
foo :-) : 1a805113-e288-4d08-a473-68cab92eaed1;Positivo
"e eu não gosto de falar com a pessoa justamente pq nunca da em nada "" :) """;Positivo
"@LeaoEcon tenho dúvidas tbm, falando sério, especialmente pq, se não me engano, o novo dinheiro está baseado no ""cryptocurrency,"" que não está estável... p.s. HI! it was good to see you the other day. obrigada por passar pela festinha de despedida :-)";Positivo
que hora boa pra renite atacar :);Positivo
@YanDutraskt @irragirl a gente praticamente todo dia :) ?;Positivo
@JangNaraPH Ganda! :) #HwayugiTarget;Positivo
Adorei as críticas contra o Trump no #VMAS , tão bom ver uma nação unida contra um mal em comum. :);Positivo
@jvalmeidac hahahahahahahahahaha já te adianto q o outro cc c link eh rola tb :D;Positivo
Tb eh 3ayza anam :);Positivo
"vou usar "":)"" pra fazer drama pro resto da vida";Positivo
@rrgomide @syntaxfm Obrigado pela indicação :-);Positivo
@jojotodynhoofc @robertocabrini Uma pessoa do bem :). Sucesso;Positivo
na teoria só pode votar quem mora nos eua/canada :) todo mundo que não gostou de certa sabe mudar ip pra votar https://t.co/w6xCxWFU8q;Positivo
Obrigada pelo desserviço de comparar duas coisas totalmente diferentes :) https://t.co/C5EGBDDT07;Positivo
@_FernandaSanna_ @SkipNhO Acadêmico de medicina. Já fiz alguns partos :D;Positivo
@haematopoiesis cheguei hoje à noite a Lx, podemos combinar p/algures esta semana, mas antes de 6a! :);Positivo
@Rubens_BFR @czmartins Daqui a 12 anos ele tá livre :) Pelo menos dessa condenação ??;Positivo
O mozao jogou agua no palco mas fomos nos q ficamos molhados. Quem concorda, respira. Quem nao concorda va pra puta q o pariu :) https://t.co/XDxwyGlFAY;Positivo
[21/08/2018 00:31:37] : Garota eu fico 24 hrs falando ctg sua doente mental Juro que eu não bato neurose com nada pessoal :);Positivo
p isso é q eu ficava bem morta :)));Positivo
Eu quero mt q vcs nao fiquem juntos :) — Tudo em dobro pra você https://t.co/3LbLP9Oxcp;Positivo
@Daisukeew Diz ao pai :D;Positivo
Me levou bombom de morango quando, havíamos marcado uma viagem no fim de ano e, depois de mover mundos e fundos para finalmente conseguir uma folga, eu peguei caxumba :))));Positivo
Caralho minha saúde ta um nojo :);Positivo
@vine_panic Vamos te ajudar por DM, tudo bem? Espera nosso contato lá. :);Positivo
Fui hoje buscar o meu passaporte e já o perdi/foi roubado :) só a mim;Positivo
@MutieRina Estão ótimas :);Positivo
boa noite fml :);Positivo
Ok já que não tem Tease nessa caralha, vou ver um dorama e me apaixonar pelo app :) kkkkkkk;Positivo
